song,artist,album,id,link,added_at
Votiv,Dorisburg,Irrbloss,6L56pepR6uJYg4cQoG1W1n,https://open.spotify.com/track/6L56pepR6uJYg4cQoG1W1n,2024-02-01T03:02:14Z
Sisters - Boards of Canada remix,"Odd Nosdam, Boards of Canada",Sisters (Remix),21XGkmVuhJ1Srq3Nq7Cqyi,https://open.spotify.com/track/21XGkmVuhJ1Srq3Nq7Cqyi,2024-02-01T02:06:07Z
Memory limitations in artificial intelligence,Infinity Frequencies,Between Two Worlds,79kYL6ssks9MT1Ruo1lMeq,https://open.spotify.com/track/79kYL6ssks9MT1Ruo1lMeq,2024-01-25T06:29:29Z
Lay in a Shimmer,Pantha Du Prince,Black Noise,67WqHuS6rVIOU9R7h8yn8m,https://open.spotify.com/track/67WqHuS6rVIOU9R7h8yn8m,2024-01-25T06:13:44Z
Club der Ewigkeiten,DJ Koze,Knock Knock,2ywFTaCXKedBFlYA0XcHJM,https://open.spotify.com/track/2ywFTaCXKedBFlYA0XcHJM,2024-01-25T05:11:23Z
Like What,Tennyson,Like What,4p6LWSm2Zd4B2Roggm134s,https://open.spotify.com/track/4p6LWSm2Zd4B2Roggm134s,2024-01-25T05:06:19Z
White Kite,Thrupence,Serenade/Promenade,6E4RVBc7WSkCDh7aS40IF3,https://open.spotify.com/track/6E4RVBc7WSkCDh7aS40IF3,2024-01-21T19:35:36Z
Lagoon,Kaitlyn Aurelia Smith,Lagoon,7oYOdF7lpYvwYNLk3BWNpD,https://open.spotify.com/track/7oYOdF7lpYvwYNLk3BWNpD,2024-01-20T08:09:19Z
Winter's Lament,Rival Consoles,Winter's Lament,6SeSesTsbZgtyoY6GTyrEd,https://open.spotify.com/track/6SeSesTsbZgtyoY6GTyrEd,2024-01-20T06:54:13Z
Bacchus,Thrupence,Unfinished Business,1kTngj4ULIGd6b9KIYyWJz,https://open.spotify.com/track/1kTngj4ULIGd6b9KIYyWJz,2024-01-19T04:59:55Z
CHU / 處,LI YILEI,之 / OF,3BISxa1qpfWo6lGzN37Dlu,https://open.spotify.com/track/3BISxa1qpfWo6lGzN37Dlu,2024-01-16T03:09:15Z
Bloom,Teset,Egress,2eKcXSs1EKI2cy69E8Bred,https://open.spotify.com/track/2eKcXSs1EKI2cy69E8Bred,2024-01-16T03:03:09Z
No Love,Death Grips,No Love Deep Web,5fDj1YVNR04RtQNP4iYapO,https://open.spotify.com/track/5fDj1YVNR04RtQNP4iYapO,2024-01-14T04:30:26Z
Get Got,Death Grips,The Money Store,781V2Y5LPtcpgONEOadadE,https://open.spotify.com/track/781V2Y5LPtcpgONEOadadE,2024-01-14T03:55:28Z
Ligeti: Atmosphères,"György Ligeti, Jonathan Nott, Berliner Philharmoniker","Ligeti : Project Vol.2 - Lontano, Atmosphères, Apparitions, San Francisco Polyphony & Concert Românesc",3HVUDpc6RNoY4d1zF5F287,https://open.spotify.com/track/3HVUDpc6RNoY4d1zF5F287,2024-01-14T03:04:42Z
Bleed,Meshuggah,ObZen,4E6wpXABj8XosZEPXZz2OK,https://open.spotify.com/track/4E6wpXABj8XosZEPXZz2OK,2024-01-14T02:37:49Z
Connections,Stage Kids,Intra Mental,0VpNoeuPoIGOpPH80s4o4w,https://open.spotify.com/track/0VpNoeuPoIGOpPH80s4o4w,2024-01-11T07:01:17Z
Wind Surf Ballad,Dominique Guiot,L'Univers De La Mer,7MC8EtNZOKKFczMzpTOalq,https://open.spotify.com/track/7MC8EtNZOKKFczMzpTOalq,2024-01-08T23:09:32Z
Do Right,Les Sins,Michael,5K8D31rgpqYGMu2610annL,https://open.spotify.com/track/5K8D31rgpqYGMu2610annL,2024-01-05T05:30:00Z
A Song That Will Help You Remember to Forget,Slow Dancing Society,The Sound of Lights When Dim,0itMKInovica9ugQZRTx5p,https://open.spotify.com/track/0itMKInovica9ugQZRTx5p,2024-01-03T04:50:15Z
Ghost In My Head,Niva,Feverish Dreams,34d1kmWNuB6uW5GwTgayR3,https://open.spotify.com/track/34d1kmWNuB6uW5GwTgayR3,2024-01-03T03:45:12Z
